A,AAL,AAP,AAPL,ABT,ACN,ADBE,ADI,ADM,ADP
22.11269188,14.50879192,32.22201157,4.038547039,18.98587227,25.90695572,34.47999954,19.32081985,30.14902687,23.26797295
22.11269188,13.63204288,32.11600494,3.975137949,19.15082169,25.25632095,35.20999908,19.05524635,29.28762627,23.13407516
21.55442047,13.71688938,30.94975853,3.905992031,18.91658783,24.78313065,33.95999908,18.35809708,27.84975433,22.48790741
21.58009338,14.46165466,30.75535965,3.683758736,19.04525948,24.99755096,32.75999832,18.17219734,27.33954048,22.06876755
20.80364609,14.51821804,31.73608971,3.660810471,19.16731453,24.53915215,32.61999893,18.41121101,27.37267876,22.23176193
20.53413391,14.30138779,30.90556335,3.788835764,18.73844528,25.10105705,33.18999863,18.43777847,27.43893814,22.0629425
20.4442997,14.24482059,31.7537632,3.908709288,18.58669281,25.25632095,33.84000015,18.75647163,28.4593544,22.38312531
20.43787766,14.0468502,31.00276566,3.770115614,18.45802498,25.99567604,34.38000107,18.76975441,28.87680626,22.88375473
20.97047997,14.44279861,31.30316353,3.90719986,18.64607811,26.49843025,35,18.95565605,29.12860107,23.18646812
20.23895454,13.23608971,30.03973389,3.84862113,18.26998138,26.32838631,34.95999908,18.80958557,28.92922592,23.07004738
19.66784859,13.58490562,29.73932648,3.763170481,18.32607269,25.55205917,34.66999817,18.54400444,29.32797623,23.13407516
19.84753036,13.11353111,29.86301613,3.689193249,18.3326664,25.71471596,34.90000153,18.21203041,30.14540291,23.0118351
20.23253632,13.39635754,30.4284668,3.738713264,18.34585953,25.21195984,35.04999924,18.40457344,30.13211632,23.41932106
20.28388023,13.13238811,29.63331032,3.669869661,18.09843063,25.01233101,34.77999878,19.00877571,30.18528938,23.31454086
20.15554047,12.70815563,29.68631172,3.60706377,17.99286079,25.16020584,35.09000015,18.71663094,29.62704277,23.69874763
20.21327972,12.91555882,30.61401176,3.615517616,18.29967308,25.7073288,35.54000092,18.84941864,29.79316902,23.83845711
20.45072174,13.09467983,31.1794548,3.597703695,18.3326664,26.88290405,35.86999893,18.90917969,30.5175724,23.7336731
20.55339241,13.00983238,30.95858383,3.712746859,17.99286079,27.39305305,35.45999908,18.84941864,30.05901718,23.75695229
20.3095417,12.3970499,30.74653435,3.922597885,17.88729858,27.20821953,35.34000015,18.55728149,30.88309669,23.45425224
19.64217949,11.68999195,29.63331032,3.77494669,17.66626167,26.06221771,33.65000153,17.8734169,29.97262192,23.25632477
19.72560692,11.30347252,30.11925316,3.675605297,17.56069756,25.78866386,32.86000061,17.86678123,30.39795113,23.41349792
19.57801437,11.88796997,29.6244812,3.762866974,17.56399155,25.64078903,33.06999969,18.13900185,30.57073975,23.44843292
19.6357708,12.0293808,30.12807274,3.758942366,17.47821426,25.95871162,32.41999817,18.42638588,30.95620155,23.40186119
19.34058952,10.89809227,29.05901146,3.651451588,17.18460274,25.7073288,32.47000122,17.85829735,30.75018692,23.3669281
