A,AAL,AAP,AAPL,ABT,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AET,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,AMAT,AMD,AME,AMG,AMGN,AMP,AMT,AMZN,ANSS,AON,AOS,APA,APD,APH,ARE,AVB,AVY,AXP,AYI,AZO,BA,BAC,BAX,BBY,BDX
22.88914108,11.82197857,28.21084023,4.820287704,19.95907974,25.16759872,37.70000076,18.25187111,28.07504654,23.1981144,42.49000168,25.96479988,25.08061028,13.60572243,52.68573761,21.21389961,736.8761597,1.600235224,48.36009598,14.89306259,25.87999916,28.3984623,14.22000027,5.25618124,33.84479141,13.15495586,6.570000172,16.40345955,89.87016296,33.89856339,36.57758331,29.50335693,4.017499924,35.43999863,37.1432457,4.157687187,77.58493042,54.32429123,4.396653652,56.68142319,47.42984009,31.73758888,33.99633408,37.86274719,107.1399994,58.53474045,28.59350204,25.62202835,27.7960434,68.26860809
22.68380737,11.79369545,27.66305351,4.858032227,19.71165848,24.70180702,35.54999924,17.90661621,27.27327538,22.90122604,40.88999939,24.79904747,23.8606987,12.82925606,51.41020203,20.6690979,690.559021,1.582169414,46.70341492,14.50370598,26.63999939,27.24547195,13.5,5.184242249,32.94767761,13.23802185,6.340000153,15.76026535,84.71810913,33.84860229,34.42883682,29.4956665,4.006000042,34,35.99679184,4.123061657,73.99026489,51.72115326,4.064581871,55.6791954,46.5165863,30.77766418,32.78987503,35.15310287,103.8799973,58.2782135,27.27800941,24.7851963,27.0863266,66.23548126
21.59934235,12.18022346,28.11365128,4.872224808,19.60608864,24.96797562,35.33000183,18.28506851,27.10099792,23.02347374,41.24000168,24.18792725,23.16803169,12.74531174,50.74077225,19.79875374,662.3106079,1.589776397,45.30607224,14.16301346,27,26.94536972,13.39999962,5.25618124,32.20340729,13.60805607,7.070000172,15.56051922,87.74929047,33.87001038,34.49163055,28.18046951,3.987999916,33.25,36.07156754,3.90248251,74.73105621,52.03277206,4.289286137,54.08499527,45.48846817,30.83764839,33.51221848,34.61117172,106.0599976,57.4573822,26.58330154,24.93124962,27.30849457,64.77902985
21.07315254,11.33175278,28.4758873,4.699509621,18.96607971,24.62047386,34,18.04604721,26.63054657,22.73822021,40.11000061,23.51004601,22.04632568,12.37456608,48.33444214,20.36680031,666.8913574,1.656333685,45.54375839,14.51587582,27.47999954,27.0243454,12.97999954,5.175247669,32.64198685,13.59295273,6.829999924,15.62043667,91.03225708,32.40671158,34.01025391,27.61902237,3.924000025,33.06000137,36.03001404,4.05893898,72.32161713,51.40947723,4.261610985,55.36854553,47.2384491,30.43766975,33.30472946,35.01762772,110.4899979,56.87108994,27.63273621,23.9602108,27.95649338,63.10819244
21.45175552,12.38762283,29.68631172,4.199182987,19.1244278,24.45042992,34.34999847,18.58384323,27.067873,22.9827137,40.75,24.32658195,22.88889694,12.67535877,48.94960785,20.79201317,697.4303589,1.85458076,48.02153397,15.51360607,27.79000092,26.70846176,13.47999954,5.550691128,34.09068298,13.66846943,7.559999943,16.21169281,93.05625916,31.94274902,34.86835098,27.62670326,3.698499918,33.86000061,36.37894821,4.423154354,71.21439362,53.01661682,4.427648544,58.87341309,52.20397949,30.96430779,35.5101738,37.79048538,114.5800018,56.11621857,29.9828968,24.21284103,28.91306114,62.5758934
21.56084251,11.93510628,30.41963768,4.094406605,18.82422066,25.04930305,34.63999939,19.2013073,28.00878525,22.56357956,42.43999863,23.34057617,22.03081703,12.69634342,48.37062836,20.53954315,700.3569946,1.825580597,46.96273422,15.12425327,30.38999939,26.96906281,13.11999989,5.105556965,34.60236359,13.56274509,7.579999924,17.33429146,102.4015961,32.92066193,35.04276657,29.22647476,3.883500099,36.18000031,35.99679184,4.088434219,72.53214264,54.2509613,4.443143368,57.83603287,50.43763351,30.61098862,36.20178986,37.14920425,114.3399963,56.885746,29.48772812,24.48520279,29.00564003,64.44632721
21.29774284,11.58629417,29.35058403,3.925617695,18.30297661,25.0345192,34.84000015,18.40457344,27.90275955,22.55776787,41.29999924,22.68837929,21.36400986,12.74531174,47.58359528,20.23060799,677.1981201,1.844597101,46.22802353,14.88698101,29.51000023,29.45671082,13.86999989,5.080826283,33.52582169,13.15495586,7.150000095,17.47411728,92.756073,34.36253738,34.61022949,27.82668686,3.880000114,35.31000137,35.41526794,4.205136299,72.18906403,54.63596344,4.34573698,58.0528717,50.25716019,30.75763321,34.91846085,36.87824631,112.0299988,56.45333862,29.177351,24.07863426,27.94416046,64.02494812
21.50950623,12.5667448,30.16342354,3.925617695,18.61968231,25.08626747,35.15000153,18.63031769,28.69128227,23.00018311,41.13999939,23.02217865,21.82922363,13.05310059,48.38872147,20.728899,696.666748,1.917335272,46.31446457,15.51969337,30.12999916,30.87029839,12.98999977,5.339365005,35.00108719,13.5551939,7.460000038,17.66187859,95.05123901,34.16268158,35.90088272,28.39583015,3.790999889,35.68000031,36.16293716,4.360314846,73.42106628,55.76032257,4.362339973,60.57309723,52.22588348,31.65090752,36.42464828,37.11307526,118.6800003,56.87108994,30.44849205,24.36678696,29.65980721,63.76617432
21.48383141,12.3499136,30.94975853,3.971817255,18.5569973,25.53728676,35.54000092,18.72327614,28.45271492,23.00599289,40.77999878,22.68324471,22.087677,13.13004875,48.85911942,20.67241287,721.8612061,1.894515157,46.59537888,15.59878731,29.71999931,27.92464066,14,5.206722736,34.72197723,13.35129929,7.610000134,17.62592506,96.99778748,34.26259995,36.87757111,29.84945297,3.69749999,36.09000015,36.17955017,4.389965534,73.15595245,55.86420441,4.319170952,59.41846085,52.18761826,34.19072342,36.73202515,38.99176788,118.4300003,59.33354187,30.99538422,24.18126488,30.20907021,63.37438965
21.93301773,12.6138773,30.7907238,3.991140842,18.45802498,25.15281487,35.93999863,18.59047699,28.48587036,22.96526337,40.97000122,22.66270256,21.74651527,13.04610825,48.37062836,20.20402527,691.8313599,1.865514874,46.59537888,15.41019058,29.5,28.11416054,11.93000031,5.355102062,32.2233429,13.53253746,7.610000134,17.45813942,94.41207123,33.74866104,37.23336411,28.98804665,3.710500002,35.34999847,35.6126976,4.353867531,73.52239227,54.7276268,4.312529087,56.80448151,50.77667618,34.32404709,36.37853622,38.7388649,116.0899963,60.73334503,31.19493294,23.75100517,29.178442,62.78289032
